trial_id,nct_id,title,phase,condition,drug_class,status,enrollment_target,sponsor
TR-20167,NCT20240167,Immunotherapy (PD-1) Study in Asthma - Phase 3,Phase 3,Asthma,SGLT-2 Inhibitor,Completed,7095,BioTech Inc
TR-20168,NCT20240168,ACE Inhibitor Study in Atrial Fibrillation - Phase 4,Phase 4,Atrial Fibrillation,Investigational DPP-4 Inhibitor Analog,Recruiting,13179,University Hospital
TR-20169,NCT20240169,SGLT-2 Inhibitor Study in Obesity - Phase 4,Phase 4,Obesity,Investigational DPP-4 Inhibitor Analog,Completed,8525,BioTech Inc
TR-20170,NCT20240170,GLP-1 Agonist Study in Chronic Kidney Disease - Phase 2,Phase 2,Chronic Kidney Disease,SGLT-2 Inhibitor,Completed,1989,University Hospital
TR-20171,NCT20240171,Immunotherapy (PD-1) Study in Depression - Phase 2,Phase 2,Depression,ACE Inhibitor,Recruiting,1578,Pharma Corp A
TR-20172,NCT20240172,SGLT-2 Inhibitor Study in Chronic Kidney Disease - Phase 1,Phase 1,Chronic Kidney Disease,DPP-4 Inhibitor,Completed,11642,Pharma Corp A
TR-20173,NCT20240173,DPP-4 Inhibitor Study in Rheumatoid Arthritis - Phase 4,Phase 4,Rheumatoid Arthritis,SGLT-2 Inhibitor,Completed,10445,MedResearch LLC
TR-20174,NCT20240174,ACE Inhibitor Study in Obesity - Phase 2,Phase 2,Obesity,Beta Blocker,Active,8822,BioTech Inc
TR-20175,NCT20240175,DPP-4 Inhibitor Study in Chronic Kidney Disease - Phase 3,Phase 3,Chronic Kidney Disease,Beta Blocker,Recruiting,2405,Pharma Corp A
TR-20176,NCT20240176,GLP-1 Agonist Study in Rheumatoid Arthritis - Phase 1,Phase 1,Rheumatoid Arthritis,Dual-Agent Protocol,Completed,2060,Pharma Corp A
TR-20177,NCT20240177,Beta Blocker Study in Obesity - Phase 3,Phase 3,Obesity,SGLT-2 Inhibitor,Recruiting,1317,University Hospital
TR-20178,NCT20240178,Investigational DPP-4 Inhibitor Analog Study in Asthma - Phase 2,Phase 2,Asthma,GLP-1 Agonist,Completed,13082,Pharma Corp A
TR-20179,NCT20240179,Dual-Agent Protocol Study in Chronic Kidney Disease - Phase 1,Phase 1,Chronic Kidney Disease,GLP-1 Agonist,Active,11311,University Hospital
TR-20180,NCT20240180,Dual-Agent Protocol Study in Chronic Kidney Disease - Phase 3,Phase 3,Chronic Kidney Disease,SGLT-2 Inhibitor,Active,4944,Pharma Corp A
TR-20181,NCT20240181,GLP-1 Agonist Study in Obesity - Phase 1,Phase 1,Obesity,Immunotherapy (PD-1),Completed,7978,Pharma Corp A
TR-20182,NCT20240182,GLP-1 Agonist Study in Obesity - Phase 3,Phase 3,Obesity,ACE Inhibitor,Completed,534,Pharma Corp A
TR-20183,NCT20240183,ACE Inhibitor Study in Atrial Fibrillation - Phase 2,Phase 2,Atrial Fibrillation,Immunotherapy (PD-1),Recruiting,14772,BioTech Inc
TR-20184,NCT20240184,SGLT-2 Inhibitor Study in Type 2 Diabetes - Phase 3,Phase 3,Type 2 Diabetes,ACE Inhibitor,Recruiting,11973,BioTech Inc
TR-20185,NCT20240185,Dual-Agent Protocol Study in Depression - Phase 3,Phase 3,Depression,ACE Inhibitor,Recruiting,5760,MedResearch LLC
TR-20186,NCT20240186,Investigational DPP-4 Inhibitor Analog Study in Heart Failure - Phase 4,Phase 4,Heart Failure,Investigational DPP-4 Inhibitor Analog,Active,4147,BioTech Inc
TR-20187,NCT20240187,Investigational DPP-4 Inhibitor Analog Study in COPD - Phase 3,Phase 3,COPD,GLP-1 Agonist,Completed,13045,MedResearch LLC
TR-20188,NCT20240188,Dual-Agent Protocol Study in Obesity - Phase 2,Phase 2,Obesity,Investigational DPP-4 Inhibitor Analog,Completed,6992,MedResearch LLC
TR-20189,NCT20240189,Investigational DPP-4 Inhibitor Analog Study in Asthma - Phase 1,Phase 1,Asthma,Investigational DPP-4 Inhibitor Analog,Active,9342,MedResearch LLC
TR-20190,NCT20240190,Dual-Agent Protocol Study in Asthma - Phase 1,Phase 1,Asthma,SGLT-2 Inhibitor,Recruiting,8428,MedResearch LLC
TR-20191,NCT20240191,Beta Blocker Study in Rheumatoid Arthritis - Phase 4,Phase 4,Rheumatoid Arthritis,Immunotherapy (PD-1),Completed,540,Pharma Corp A
TR-20192,NCT20240192,Investigational DPP-4 Inhibitor Analog Study in Obesity - Phase 3,Phase 3,Obesity,SGLT-2 Inhibitor,Completed,4069,Pharma Corp A
TR-20193,NCT20240193,Immunotherapy (PD-1) Study in COPD - Phase 3,Phase 3,COPD,SGLT-2 Inhibitor,Completed,2053,Pharma Corp A
TR-20194,NCT20240194,Immunotherapy (PD-1) Study in Asthma - Phase 1,Phase 1,Asthma,ACE Inhibitor,Completed,9347,MedResearch LLC
TR-20195,NCT20240195,Investigational DPP-4 Inhibitor Analog Study in COPD - Phase 1,Phase 1,COPD,Beta Blocker,Completed,3526,BioTech Inc
TR-20196,NCT20240196,GLP-1 Agonist Study in Hypertension - Phase 3,Phase 3,Hypertension,Investigational DPP-4 Inhibitor Analog,Completed,5256,MedResearch LLC
TR-20197,NCT20240197,DPP-4 Inhibitor Study in COPD - Phase 2,Phase 2,COPD,Dual-Agent Protocol,Completed,816,MedResearch LLC
TR-20198,NCT20240198,GLP-1 Agonist Study in Chronic Kidney Disease - Phase 1,Phase 1,Chronic Kidney Disease,Dual-Agent Protocol,Active,9903,MedResearch LLC
TR-20199,NCT20240199,ACE Inhibitor Study in Rheumatoid Arthritis - Phase 4,Phase 4,Rheumatoid Arthritis,DPP-4 Inhibitor,Completed,342,Pharma Corp A
